situation,clue,polarity
My dad is taking me to work with him today . ,I have to sit in the car for a long time .,0
My dad is taking me to work with him today . ,I have nothing to do .,0
My dad is taking me to the library because I have a project due . ,I don't know how to use the library .,0
My dad is taking me to the library because I have a project due . ,I am too old for this .,0
My dad is taking me to the library because I have a project due . ,I am in high school .,0
My dad is taking me to the library because I have a project due . ,my dad is old and weak .,0
My dad is taking me to the library because I have a project due . ,my dad is handicapped .,0
My dad is taking me to the library because I have a project due . ,I don't like reading books .,0
My dad is taking me to the library because I have a project due . ,all the books will be boring .,0
My dad is taking me to the library because I have a project due . ,the library is so boring .,0
I almost hit a pedestrian with my car . ,I am at fault .,0
I almost hit a pedestrian with my car . ,it was my fault .,0
I almost hit a pedestrian with my car . ,I was not paying attention to the road .,0
I almost hit a pedestrian with my car . ,I wasn't paying attention .,0
I almost hit a pedestrian with my car . ,I have hit two other people with my car .,0
I almost hit a pedestrian with my car . ,this is the second time I almost hit someone .,0
My boss also told me that I need to come in early tomorrow . ,I am not a morning person .,0
My boss also told me that I need to come in early tomorrow . ,I slept late last night .,0
My boss also told me that I need to come in early tomorrow . ,I love to sleep .,0
My boss also told me that I need to come in early tomorrow . ,he is always making us come in early .,0
My boss also told me that I need to come in early tomorrow . ,he always makes me work overtime .,0
My boss also told me that I need to come in early tomorrow . ,my boss is always making me work .,0
My boss also told me that I need to come in early tomorrow . ,I need to commute for an hour .,0
My boss also told me that I need to come in early tomorrow . ,I live pretty far from work .,0
I asked my friend to stay with me during winter break . ,s/he already has plans .,0
I asked my friend to stay with me during winter break . ,s/he went home for winter break .,0
I asked my friend to stay with me during winter break . ,my friend may get bored .,0
I asked my friend to stay with me during winter break . ,he may have other plans .,0
I asked my friend to stay with me during winter break . ,I can be kind of boring .,0
I asked my friend to stay with me during winter break . ,he is always looking for a free place to stay .,0
I asked my friend to stay with me during winter break . ,he is a couch surfer .,0
I will form my opinion after the presentation . ,my idea is too radical .,0
I will form my opinion after the presentation . ,I'm too young .,0
I will form my opinion after the presentation . ,I'm not an expert .,0
I will form my opinion after the presentation . ,I always freeze during presentations .,0
I will form my opinion after the presentation . ,my idea is not original .,0
I will form my opinion after the presentation . ,I usually do not have strong opinions .,0
I will form my opinion after the presentation . ,I always value other people's opinions .,0
I am forming a new organization with my friends . ,we don't have clear goals .,0
I am forming a new organization with my friends . ,we don't have enough experience .,0
I am forming a new organization with my friends . ,we haven't come to a consensus on what the organization should be yet .,0
I am forming a new organization with my friends . ,it's my first time forming an organization .,0
I am forming a new organization with my friends . ,I have no experience in leading a group .,0
I am forming a new organization with my friends . ,we didn't spend enough time planning it .,0
I am forming a new organization with my friends . ,we don't have similar vision .,0
I am forming a new organization with my friends . ,we have too many disagreements on the fundamental issues .,0
The cashier gave me a description of the dress I wanted . ,the store is too big .,0
The cashier gave me a description of the dress I wanted . ,I'm too skinny .,0
The cashier gave me a description of the dress I wanted . ,the color wouldn't suit me .,0
The cashier gave me a description of the dress I wanted . ,It's not my style .,0
The cashier gave me a description of the dress I wanted . ,the dress is not my style .,0
The cashier gave me a description of the dress I wanted . ,it was made of silk .,0
The cashier gave me a description of the dress I wanted . ,it was designer .,0
The cashier gave me a description of the dress I wanted . ,the dress she was describing sounded nothing like the one I wanted .,0
I gave my boss an explanation for why I was late . ,my story was not good enough .,0
I gave my boss an explanation for why I was late . ,I have been late a lot lately .,0
I gave my boss an explanation for why I was late . ,my excuses were not convincing .,0
I gave my boss an explanation for why I was late . ,it was a very complicated excuse .,0
I gave my boss an explanation for why I was late . ,I didn't have a good reason .,0
I gave my boss an explanation for why I was late . ,I have been late a lot lately .,0
I gave my boss an explanation for why I was late . ,I didn't have a good excuse .,0
He gave her flowers on their first date . ,he did something too romantic too soon .,0
He gave her flowers on their first date . ,he seems really eager .,0
He gave her flowers on their first date . ,he bought the flowers from the grocery store .,0
I am going on a date with my boyfriend tomorrow . ,I am not pretty enough .,0
I am going on a date with my boyfriend tomorrow . ,I am not his type .,0
I am going on a date with my boyfriend tomorrow . ,we have been having a lot of fights lately .,0
I am going on a date with my boyfriend tomorrow . ,he has been acting distant lately .,0
I am going on a date with my boyfriend tomorrow . ,he has stood me up before .,0
I am going on a date with my boyfriend tomorrow . ,he hasn't been texting me much today .,0
I am going on a date with my boyfriend tomorrow . ,he is really busy with work .,0
I am going on a date with my boyfriend tomorrow . ,he is a flake .,0
I am going on a date with my boyfriend tomorrow . ,he might be busy .,0
My friends are holding my spot in line for the new iPhone . ,the store is giving out a limited number of phones .,0
My friends are holding my spot in line for the new iPhone . ,the line is too long .,0
My friends are holding my spot in line for the new iPhone . ,the new iPhone is sold out .,0
My friends are holding my spot in line for the new iPhone . ,it is too expensive .,0
I ask my crush out on a date . ,I'm not his type .,0
I asked my neighbor if they could water my plants while I'm gone . ,they never help me with anything .,0
I asked my neighbor if they could water my plants while I'm gone . ,they never really talked to me before .,0
I asked my neighbor if they could water my plants while I'm gone . ,they never have time for anything .,0
I asked my neighbor if they could water my plants while I'm gone . ,they never water their own plants .,0
I asked my neighbor if they could water my plants while I'm gone . ,they never took care of plants before .,0
I asked my neighbor if they could water my plants while I'm gone . ,they have a lot of their own plants to take care of .,0
I asked my neighbor if they could water my plants while I'm gone . ,they never took care of plants before .,0
I asked my neighbor if they could water my plants while I'm gone . ,my neighbor is usually forgetful .,0
I asked my roommate if he wanted to go to the game with me . ,he doesn't like football .,0
I bought my first car . ,I am not a good driver .,0
I bought my first car . ,I was a new driver .,0
I bought my first car . ,I was not very experienced in driving .,0
I bought my first car . ,it was very expensive .,0
I bought my first car . ,I spent all my savings on it .,0
I bought my first car . ,I still have student loans to pay off .,0
I bought my first car . ,it was used .,0
I bought my first car . ,it was a used car .,0
I bought my first car . ,it was a used car .,0
I was driving my car on the highway . ,I was driving too fast .,0
I was driving my car on the highway . ,I was going very fast .,0
I was driving my car on the highway . ,I was driving too fast .,0
I was driving my car on the highway . ,I was driving too fast .,0
I was driving my car on the highway . ,I was going so fast .,0
I give my mom a gift for her birthday . ,I don't know what she likes .,0
I give my mom a gift for her birthday . ,it is not what she wanted .,0
I helped my friend study for his test . ,he is smarter than me .,0
I helped my friend study for his test . ,he is better at taking tests .,0
I helped my friend study for his test . ,he didn't understand most of what we went over .,0
I helped my friend study for his test . ,he didn't seem to be understanding the material .,0
I helped my friend study for his test . ,he didn't listen to my advice .,0
I helped my friend study for his test . ,he didn't study very hard .,0
I helped my friend study for his test . ,he didn't listen to my explanations .,0
I helped my friend study for his test . ,he didn't listen to my advice .,0
I keep my fingers crossed for my driving test . ,I'm not confident .,0
I keep my fingers crossed for my driving test . ,I'm not a confident driver .,0
I keep my fingers crossed for my driving test . ,I am not confident .,0
I left my laptop at home . ,it is all on my laptop .,0
I left my laptop at home . ,I need it to do my work .,0
I left my laptop at home . ,I need it to do research .,0
I left my laptop at home . ,I need it to do my work .,0
I left my laptop at home . ,I need the laptop to do the project .,0
I left my laptop at home . ,I can't go back home to get it .,0
I left my laptop at home . ,my laptop is much faster .,0
I left my laptop at home . ,I can't go home to get it .,0
I left my laptop at home . ,I can't borrow my friend's laptop .,0
I left my laptop at home . ,I can't go back home .,0
I let my friends borrow my car . ,they are not very careful with other people's things .,0
I let my friends borrow my car . ,they are not careful .,0
I let my friends borrow my car . ,they are always busy .,0
I let my friends borrow my car . ,they always return things late .,0
I let my friends borrow my car . ,they are always late .,0
My brothers let me play with their new toys . ,I will break it .,0
My brothers let me play with their new toys . ,they are always doing that .,0
My brothers let me play with their new toys . ,they're only letting me play with them because I'm younger .,0
My brothers let me play with their new toys . ,they're not really mine .,0
My brothers let me play with their new toys . ,I always break their toys .,0
My brothers let me play with their new toys . ,I always break their stuff .,0
I lead two groups in my church . ,I never led a group before .,0
I lead two groups in my church . ,I'm not confident .,0
I lead two groups in my church . ,I am not good at public speaking .,0
I lead two groups in my church . ,I'm not good at time management .,0
I lead two groups in my church . ,they all have different opinions .,0
I lead two groups in my church . ,I have more friends in that group .,0
I lead two groups in my church . ,I can't handle both of them equally .,0
I lead two groups in my church . ,I'm too busy .,0
I lead two groups in my church . ,both groups have demanding meeting schedules .,0
I lead two groups in my church . ,it is time-consuming .,0
I lead two groups in my church . ,both groups have a lot of events .,0
I lead two groups in my church . ,both groups are very time-consuming .,0
The defendant protested his innocence . ,the evidence against him was so strong .,0
The defendant protested his innocence . ,he has a previous conviction .,0
The defendant protested his innocence . ,the evidence is so strong against him .,0
The defendant protested his innocence . ,several pieces of evidence suggested otherwise .,0
The defendant protested his innocence . ,many pieces of evidence point to his guilt .,0
The defendant protested his innocence . ,the evidence against him was so strong .,0
The defendant protested his innocence . ,his protestations were so weak .,0
The defendant protested his innocence . ,he was unable to provide an alibi .,0
The defendant protested his innocence . ,the evidence was strong against him .,0
I raised my hands to look at the board . ,I know the answer to the question .,0
I raised my hands to look at the board . ,my hand was the only one up .,0
I raised my hands to look at the board . ,I wanted to ask a question .,0
I raised my hands to look at the board . ,I always get called on in class .,0
I raised my hands to look at the board . ,I am very short .,0
I raised my hands to look at the board . ,I am the shortest person in the class .,0
I raised my hands to look at the board . ,I am the only person with their hand up .,0
I raised my hands to look at the board . ,I always get called on in class .,0
I raised my hands to look at the board . ,my teacher always calls on people who raise their hands .,0
I raised my hands to look at the board . ,I never participate in class .,0
I raised my hands to look at the board . ,I didn't know the answer to the question .,0
I accept your offer to go for a date . ,I am not pretty .,0
I accept your offer to go for a date . ,I have low self-esteem .,0
I accept your offer to go for a date . ,I'm not pretty enough .,0
I accept your offer to go for a date . ,you probably didn't have a good time .,0
I accept your offer to go for a date . ,you are not interested in me .,0
I accept your offer to go for a date . ,I am not popular in school .,0
I accept your offer to go for a date . ,I am really shy .,0
I accept your offer to go for a date . ,I have been single for a long time .,0
I accept your offer to go for a date . ,you didn't dress up for the date .,0
I accept your offer to go for a date . ,you seem 50% interested .,0
I accept your offer to go for a date . ,you cancelled last minute .,0
I accept your offer to go for a date . ,you are really busy .,0
I accept your offer to go for a date . ,you are probably not interested .,0
I accept your offer to go for a date . ,you are not interested in me .,0
The host announced my arrival . ,I got lost on my way there .,0
The host announced my arrival . ,I slept in .,0
The host announced my arrival . ,I ran into some trouble on the way .,0
The host announced my arrival . ,I  have not practiced my speech .,0
The host announced my arrival . ,I  am  not  wearing  my  nicest clothes .,0
The host announced my arrival . ,I am not well dressed .,0
The host announced my arrival . ,I'm not used to being in the spotlight .,0
The host announced my arrival . ,I  am  not  good  at  socializing .,0
The host announced my arrival . ,I am not famous .,0
The host announced my arrival . ,I hadn't done anything to deserve being announced .,0
The questions my boss asked me were very difficult . ,I didn't study for the interview .,0
The questions my boss asked me were very difficult . ,I was not expecting difficult questions .,0
The questions my boss asked me were very difficult . ,I am not very good at that subject .,0
The questions my boss asked me were very difficult . ,I could not answer any of the questions correctly .,0
The questions my boss asked me were very difficult . ,I  couldn't answer any of them .,0
The questions my boss asked me were very difficult . ,I couldn't answer any of them .,0
The questions my boss asked me were very difficult . ,I didn't answer them well .,0
I went to my friends room to study together . ,she might have had other plans .,0
I went to my friends room to study together . ,she was busy with her phone .,0
I went to my friends room to study together . ,I'm bad at studying .,0
I went to my friends room to study together . ,she is studying with her friends .,0
I went to my friends room to study together . ,my friends are really loud .,0
I went to my friends room to study together . ,her room is really messy .,0
I went to my friends room to study together . ,there's too much noise outside .,0
I went to my friends room to study together . ,he always procrastinates .,0
I went to my friends room to study together . ,he wanted to go out .,0
I also asked for a raise . ,I have only worked at the company for a few months .,0
I also asked for a raise . ,I have only worked here for a few months .,0
I also asked for a raise . ,I have only worked here for a few months .,0
I also asked for a raise . ,I just started working at the company .,0
I also asked for a raise . ,I have been employed for such a short time .,0
I also asked for a raise . ,my boss never gave me a raise .,0
I also asked for a raise . ,I am not contributing to the company .,0
I also asked for a raise . ,I just started this job .,0
I also asked for a raise . ,I just started working here .,0
I also asked for a raise . ,I just started working here .,0
I also asked for a raise . ,I have only been with the company for a short time .,0
I bring together the people that I know will not get along in order to create a successful work environment . ,they have always had a difficult time seeing eye to eye .,0
I bring together the people that I know will not get along in order to create a successful work environment . ,they have been unable to get along in the past .,0
I bring together the people that I know will not get along in order to create a successful work environment . ,they won't be able to voice their opinion .,0
I bring together the people that I know will not get along in order to create a successful work environment . ,they will feel like they are being forced to associate with someone they don't like .,0
I bring together the people that I know will not get along in order to create a successful work environment . ,I'm the one that brought them all together in the first place .,0
I bring together the people that I know will not get along in order to create a successful work environment . ,I'm the one that knows everyone the best .,0
I bring together the people that I know will not get along in order to create a successful work environment . ,they will not be able to compromise .,0
I bring together the people that I know will not get along in order to create a successful work environment . ,the people will not get along .,0
I bring together the people that I know will not get along in order to create a successful work environment . ,their past interactions have not been positive .,0
I bring together the people that I know will not get along in order to create a successful work environment . ,they have such different personalities .,0
I buy the bike from the bike shop . ,the bike shop is new and I don't know how much the bike should cost .,0
I buy the bike from the bike shop . ,the salesperson is very slippery .,0
I buy the bike from the bike shop . ,it is the cheapest one .,0
I buy the bike from the bike shop . ,it is made with poor quality materials .,0
I buy the bike from the bike shop . ,the material looks cheap .,0
I buy the bike from the bike shop . ,the sky is cloudy .,0
I buy the bike from the bike shop . ,I didn't lock it .,0
I buy the bike from the bike shop . ,I didn't buy the insurance .,0
I continue driving even though I am very tired . ,drowsy driving is very dangerous .,0
I continue driving even though I am very tired . ,I have not had enough sleep .,0
I continue driving even though I am very tired . ,I  am  not  focus  on  the  road .,0
I continue driving even though I am very tired . ,drowsy driving is very dangerous .,0
"A lot of people crowd around me, straining to hear what I'm saying . ",they are not interested in what I have to say .,0
"A lot of people crowd around me, straining to hear what I'm saying . ",I'm not used to being in a big group .,0
"A lot of people crowd around me, straining to hear what I'm saying . ",I'm not used to speaking in front of large groups .,0
"A lot of people crowd around me, straining to hear what I'm saying . ",I do not like speaking in front of a lot of people .,0
"A lot of people crowd around me, straining to hear what I'm saying . ",I'm not used to talking in front of a large group .,0
"A lot of people crowd around me, straining to hear what I'm saying . ",I don't like being the center of attention .,0
"A lot of people crowd around me, straining to hear what I'm saying . ",I'm not used to being in big groups .,0
"A lot of people crowd around me, straining to hear what I'm saying . ",I get nervous in front of large groups .,0
"A lot of people crowd around me, straining to hear what I'm saying . ",I'm not used to speaking in front of a lot of people .,0
"A lot of people crowd around me, straining to hear what I'm saying . ",my voice is so quiet .,0
I hike up a mountain by myself . ,I  am  not  familiar with  the  area .,0
I hike up a mountain by myself . ,I don't have  a map .,0
I hike up a mountain by myself . ,it would be my first time hiking up a mountain .,0
I hike up a mountain by myself . ,I have never hiked up a mountain before .,0
I hike up a mountain by myself . ,I hike up the mountain for the first time .,0
I hike up a mountain by myself . ,I have a bad sense of direction .,0
I hike up a mountain by myself . ,it will be getting dark soon .,0
"My boss yells at me, and I yell back . ",I   am   not   supposed   to   yell   at   my   boss .,0
"My boss yells at me, and I yell back . ",I am  not respecting my boss .,0
"My boss yells at me, and I yell back . ",I am not supposed to yell at my boss .,0
I spend many hours working on a project that I'm not interested in . ,the project is not interesting to me .,0
I spend many hours working on a project that I'm not interested in . ,I am not passionate about the project .,0
I spend many hours working on a project that I'm not interested in . ,I will get bored easily .,0
I spend many hours working on a project that I'm not interested in . ,it's very boring .,0
I spend a lot of money on clothes . ,I don't have a lot of money .,0
I spend a lot of money on clothes . ,I don't have a job .,0
I spend a lot of money on clothes . ,I don't have a lot of money .,0
I spend a lot of money on clothes . ,I have no money .,0
I spend a lot of money on clothes . ,I spend too much .,0
I spend a lot of money on clothes . ,I have no self-control .,0
I show everyone my new car . ,the car is very luxury .,0
I show everyone my new car . ,I just bought a used car .,0
I show everyone my new car . ,I am not driving a luxury car .,0
I show everyone my new car . ,it's a very nice car .,0
I show everyone my new car . ,it's a luxury car .,0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ",my boss wants me to stay and work late .,0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ",my boss wants me to stay late .,0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ",my boss is really strict .,0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ",my boss told me that I needed to priorities my job .,0
I take my promotion for granted and do not act appreciative . ,my boss will think I am not thankful .,0
I take my promotion for granted and do not act appreciative . ,I am not meeting the expectations of my boss .,0
I take my promotion for granted and do not act appreciative . ,opportunities like that do not come often .,0
I take my promotion for granted and do not act appreciative . ,I have been slacking off at work .,0
I take my promotion for granted and do not act appreciative . ,I have not been working hard .,0
My boss asked me to go to work with him today . ,I didn't do my work well .,0
My boss asked me to go to work with him today . ,I was caught sleeping on the job yesterday .,0
My boss asked me to go to work with him today . ,I didn't do the reports yesterday .,0
My boss asked me to go to work with him today . ,he never takes days off .,0
My boss asked me to go to work with him today . ,he is always working .,0
My boss asked me to go to work with him today . ,he never brings his employees with him on business trips .,0
My boss asked me to go to work with him today . ,he is never in the office on Fridays .,0
My boss asked me to go to work with him today . ,he usually asks me to work on weekends .,0
My boss asked me to go to work with him today . ,he is my boss .,0
My boss asked me to go to work with him today . ,he rarely asks me to go with him .,0
I take my boss to the library to find a book for him . ,my boss is asking for a book that is not in the library .,0
I take my boss to the library to find a book for him . ,I am not familiar with the library .,0
I take my boss to the library to find a book for him . ,my boss  didn't give me  the name of the book he wanted .,0
I take my boss to the library to find a book for him . ,I don't know how to use the library .,0
I take my boss to the library to find a book for him . ,it's very big .,0
I take my boss to the library to find a book for him . ,I am not familiar with the location .,0
"I asked my boss for a raise, and he also asked me to work on the weekends . ",I really need the raise .,0
"I asked my boss for a raise, and he also asked me to work on the weekends . ",he didn't give me a raise .,0
"I asked my boss for a raise, and he also asked me to work on the weekends . ",my boss is so demanding .,0
I gave my boss a gift . ,it's an expensive gift .,0
I gave my boss a gift . ,it was quite a lot of money .,0
I gave my boss a gift . ,I  spent a lot of money on it .,0
I gave my boss a gift . ,I gave him an expensive watch .,0
I gave my boss a gift . ,I had previously made a mistake at work .,0
I gave my boss a gift . ,I am new at the job .,0
I gave my boss a gift . ,I am new at the company .,0
I gave my boss a gift . ,I gave her an expensive gift .,0
I gave my boss a gift . ,it was a bit cheap .,0
I also told my boss that I accept the job position . ,I  job-hopped a lot .,0
I also told my boss that I accept the job position . ,I'm not the most qualified candidate for the job .,0
I also told my boss that I accept the job position . ,I am the new hire .,0
I also told my boss that I accept the job position . ,it is my first job .,0
I also told my boss that I accept the job position . ,I am the newbie in the company .,0
I also told my boss that I accept the job position . ,the workload is heavy .,0
I also told my boss that I accept the job position . ,I didn't take the time to think about it enough .,0
I also told my boss that I accept the job position . ,the job position may be too demanding .,0
I also told my boss that I accept the job position . ,I didn't consider all of the factors involved in the job .,0
I also told my boss that I accept the job position . ,I am not familiar with the work .,0
I also told my boss that I accept the job position . ,I am new to this field .,0
I also told my boss that I accept the job position . ,I have never done this job before .,0
My boss also took me to a movie . ,I have to take care of my little sister .,0
My boss also took me to a movie . ,I didn't know the time .,0
My boss also took me to a movie . ,he didn't make a move on me .,0
My boss also took me to a movie . ,he has been flirting with me .,0
My boss also took me to a movie . ,he keeps trying to touch me .,0
My boss asks me to stay  later to finish some work . ,I'm not meeting his expectations .,0
My boss asks me to stay  later to finish some work . ,the work is too much .,0
My boss asks me to stay  later to finish some work . ,I will get too tired .,0
My boss asks me to stay  later to finish some work . ,I'm already working hard .,0
My boss asks me to stay  later to finish some work . ,I have to stay at work .,0
I ask my boss to take a look at my resume . ,I don't have much work experience .,0
I ask my boss to take a look at my resume . ,my resume is not very attractive .,0
I ask my boss to take a look at my resume . ,it is not very professional .,0
I ask my boss to take a look at my resume . ,he is very busy .,0
I ask my boss to take a look at my resume . ,I lack experience .,0
I ask my boss to take a look at my resume . ,I don't have much work experience .,0
I ask my boss to take a look at my resume . ,I don't have much experience .,0
I ask my boss to take a look at my resume . ,I don't have that much experience in the field .,0
I called my boss this morning to ask for a raise . ,I have only been working at the company for 6 months .,0
I called my boss this morning to ask for a raise . ,I have only been working here for 6 months .,0
I called my boss this morning to ask for a raise . ,I just started working here .,0
I called my boss this morning to ask for a raise . ,I haven't been with the company for very long .,0
I form my opinion of my new boss after talking to her for the first time . ,she has a very serious expression .,0
I form my opinion of my new boss after talking to her for the first time . ,she didn't smile at all during the conversation .,0
I form my opinion of my new boss after talking to her for the first time . ,she has a no-nonsense attitude .,0
I form my opinion of my new boss after talking to her for the first time . ,she seems very stern .,0
I form my opinion of my new boss after talking to her for the first time . ,she seems very demanding .,0
I form my opinion of my new boss after talking to her for the first time . ,she seems cold and unfriendly .,0
I form my opinion of my new boss after talking to her for the first time . ,she has a lot of different opinions from me .,0
I form my opinion of my new boss after talking to her for the first time . ,she is giving uninformed answers .,0
I form my opinion of my new boss after talking to her for the first time . ,she is always disheveled  and  her  fly is  always  down .,0
I form my opinion of my new boss after talking to her for the first time . ,she has a strict expression .,0
I form my opinion of my new boss after talking to her for the first time . ,she has a very strict face .,0
I give my boss a detailed description of the project I have been working on . ,I have not been working on it for very long .,0
I give my boss a detailed description of the project I have been working on . ,it is very boring .,0
I give my boss a detailed description of the project I have been working on . ,I am not confident in my abilities .,0
I give my boss a detailed description of the project I have been working on . ,he  will  compare  it  to  others  who  have  done  similar  projects .,0
I give my boss a detailed description of the project I have been working on . ,it is very technical .,0
I give my boss a detailed description of the project I have been working on . ,he is not familiar with the technical terms .,0
I give my boss an explanation for why I was late to work . ,I have been late to work a lot lately .,0
I give my boss an explanation for why I was late to work . ,I have been late several times .,0
I give my boss an explanation for why I was late to work . ,I didn't have a good reason .,0
I give my boss an explanation for why I was late to work . ,I'm not a very good liar .,0
I give my boss an explanation for why I was late to work . ,I have no good excuse .,0
I give my boss an explanation for why I was late to work . ,I was late due to oversleeping .,0
I give my boss an explanation for why I was late to work . ,I have been late a lot lately .,0
I give my boss an explanation for why I was late to work . ,I have been late a lot lately .,0
I give my girlfriend flowers on our anniversary . ,I didn't spend much money on them .,0
I give my girlfriend flowers on our anniversary . ,I forget to add a card .,0
I give my girlfriend flowers on our anniversary . ,she prefers chocolates .,0
I give my girlfriend flowers on our anniversary . ,I forgot to get her favorite kind .,0
I give my girlfriend flowers on our anniversary . ,I forget our anniversary .,0
I give my girlfriend flowers on our anniversary . ,I often forget important dates .,0
I give my girlfriend flowers on our anniversary . ,she is allergic to pollen .,0
I go on a date with my boss . ,I work in a position of power .,0
I go on a date with my boss . ,he is married .,0
I go on a date with my boss . ,our  interaction might be  seen as  unprofessional .,0
I go on a date with my boss . ,he has been inappropriate with me in the past .,0
I go on a date with my boss . ,many women have been harassed by their boss .,0
I go on a date with my boss . ,he has been giving me compliments and making me feel uncomfortable lately .,0
I go on a date with my boss . ,he is Engaged .,0
I go on a date with my boss . ,I have a terrible personality .,0
I go on a date with my boss . ,he is much older and I am just an intern .,0
I go on a date with my boss . ,he is married .,0
I go on a date with my boss . ,he is much older than me .,0
I go on a date with my boss . ,I am new to the company .,0
I go on a date with my boss . ,he is my boss .,0
I hold my friends place in line while they go to the bathroom . ,it's been a long time .,0
I hold my friends place in line while they go to the bathroom . ,they probably went to do something else .,0
I hold my friends place in line while they go to the bathroom . ,they are taking too long .,0
I am hugging my boss tightly as a sign of appreciation . ,she is not the type of person who likes to be hugged .,0
I am hugging my boss tightly as a sign of appreciation . ,I am hugging a person of the opposite gender .,0
I am hugging my boss tightly as a sign of appreciation . ,hugging is not a commonly accepted way to show appreciation .,0
I am hugging my boss tightly as a sign of appreciation . ,I am a woman .,0
I am hugging my boss tightly as a sign of appreciation . ,I am a female and he is a male .,0
I am hugging my boss tightly as a sign of appreciation . ,I have been complimenting him a lot lately .,0
I am hugging my boss tightly as a sign of appreciation . ,I am not supposed to show emotions at work .,0
I ask my boyfriend to come to my job interview with me . ,he is busy with work .,0
I ask my boyfriend to come to my job interview with me . ,I need someone to come with me .,0
I ask my boyfriend to come to my job interview with me . ,I am not confident .,0
I ask my boyfriend to come to my job interview with me . ,I need moral support .,0
I ask my neighbor for help because my car won't start . ,he is always busy .,0
I ask my neighbor for help because my car won't start . ,he is always grumpy .,0
I ask my neighbor for help because my car won't start . ,he was in a bad mood .,0
I ask my neighbor for help because my car won't start . ,he is never willing to help me .,0
I ask my neighbor for help because my car won't start . ,he is always busy .,0
I ask my roommate to turn down the music so I can concentrate on studying . ,he / she doesn't like when others tell him / her what to do .,0
I ask my roommate to turn down the music so I can concentrate on studying . ,he / she is used to listening to music loudly .,0
I ask my roommate to turn down the music so I can concentrate on studying . ,she likes to listen to music while she is studying .,0
I ask my roommate to turn down the music so I can concentrate on studying . ,she is trying to study as well .,0
I ask my roommate to turn down the music so I can concentrate on studying . ,he or she never listens to me .,0
I ask my roommate to turn down the music so I can concentrate on studying . ,they never listen to me .,0
I ask my roommate to turn down the music so I can concentrate on studying . ,he or she often doesn't listen to me when I ask him or her to do something .,0
I ask my roommate to turn down the music so I can concentrate on studying . ,she likes to listen to music while she studies .,0
