situation,thought,action,polarity
I am going on a date with my boyfriend tomorrow . ,he will cancel on me like he did last week .,I'll text him now to confirm .,0
My friends are holding my spot in line for the new iPhone . ,I will not be able to afford it .,I start looking for cheaper alternatives .,0
My friends are holding my spot in line for the new iPhone . ,I will not be able to afford it .,I start saving up my money .,0
I ask my crush out on a date . ,he will say no .,I prepare myself for the rejection .,0
I ask my crush out on a date . ,he will say no .,I build up the courage to speak to him .,0
I asked my neighbor if they could water my plants while I'm gone . ,hey might not do a good job .,I made sure to explain how to properly water each plant.,0
I asked my neighbor if they could water my plants while I'm gone . ,hey might not do a good job .,I left clear instructions.,0
I asked my neighbor if they could water my plants while I'm gone . ,hey might not do a good job .,I also left a note with explicit instructions.,0
I asked my neighbor if they could water my plants while I'm gone . ,hey will give up on them too soon .,I set up a self-watering system .,0
I asked my roommate if he wanted to go to the game with me . ,he will say no .,I didn't ask him and just went by myself .,0
I asked my roommate if he wanted to go to the game with me . ,he will say no .,I asked politely .,0
I bought my first car . ,I will have an accident .,I was very careful while driving .,0
I bought my first car . ,I will have an accident .,I beep the horn before I turn .,0
I bought my first car . ,I will have an accident .,I drive more carefully .,0
I bought my first car . ,I would never be able to afford a better one .,I am extra careful with it .,0
I bought my first car . ,I would never be able to afford a better one .,I took good care of it.,0
I bought my first car . ,I would never be able to afford a better one .,I take extra care of it .,0
I bought my first car . ,will break down .,I ask the mechanic to check it out .,0
I bought my first car . ,will break down .,I brought my dad to check it out with me .,0
I bought my first car . ,may break down and I'll have to spend a lot of money fixing it .,I research the different models and their reliability ratings.,0
I bought my first car . ,may break down and I'll have to spend a lot of money fixing it .,I research the model I'm interested in to see if it has a good track record.,0
I was driving my car on the highway . ,I will hit a deer and die .,I am extra careful .,0
I was driving my car on the highway . ,I will hit a deer and die .,I turned the radio off to stay focused .,0
I was driving my car on the highway . ,I will hit a deer and die .,I drove more carefully .,0
I was driving my car on the highway . ,I would have an accident .,I was driving carefully .,0
I was driving my car on the highway . ,I would have an accident .,I slow down and focus on the road .,0
I was driving my car on the highway . ,I would have an accident .,I hold on to the wheel tightly and focus on the road .,0
I give my mom a gift for her birthday . ,she will not like it .,I try to pick something that I know she will appreciate .,0
I give my mom a gift for her birthday . ,she will not like it .,I try to get her something she really wants .,0
I give my mom a gift for her birthday . ,she will not like it .,I try to make it as special as possible.,0
I helped my friend study for his test . ,he will get a better grade than me .,I was happy for him when he got an A.,0
I helped my friend study for his test . ,he will not pass .,I went over the material with him one more time .,0
I helped my friend study for his test . ,he will not pass .,I encouraged him to study more .,0
I helped my friend study for his test . ,he will not pass .,I encouraged him to try his best .,0
I helped my friend study for his test . ,he will fail .,I quiz him on some of the harder questions .,0
I helped my friend study for his test . ,he will fail .,I stayed up all night helping him .,0
I helped my friend study for his test . ,he will fail .,I told him to relax and take it one question at a time .,0
I keep my fingers crossed for my driving test . ,I might not pass .,I take a practice test beforehand .,0
I keep my fingers crossed for my driving test . ,I might not pass .,I study the road manual one more time .,0
I keep my fingers crossed for my driving test . ,I might not pass .,I study the manual again .,0
I keep my fingers crossed for my driving test . ,I will fail .,I study the handbook again .,0
I keep my fingers crossed for my driving test . ,I will fail .,I take a deep breath and relax my body .,0
I keep my fingers crossed for my driving test . ,I will fail .,I take a driving course to improve my skills .,0
I left my laptop at home . ,I will not be able to finish my work .,I borrow my friend's laptop .,0
I left my laptop at home . ,I will not be able to finish my work .,I ask my friend to send it to me .,0
I left my laptop at home . ,I will fail the presentation .,I ask my friend to borrow his .,0
I left my laptop at home . ,I will have to use my work computer which is very slow .,I ask my coworker to borrow his .,0
I left my laptop at home . ,I will have to use my work computer which is very slow .,I ask my boss for permission to use my laptop .,0
I left my laptop at home . ,I will have to use my work computer which is very slow .,I ask my coworker to borrow his laptop .,0
I left my laptop at home . ,I will have to use the computer at work .,I asked my boss for permission .,0
I let my friends borrow my car . ,hey will not return it on time .,I text them every day to ask about it .,0
I let my friends borrow my car . ,hey will not return it on time .,I always call to check up on them .,0
I let my friends borrow my car . ,hey will not return it on time .,I always ask for it back as soon as possible .,0
My brothers let me play with their new toys . ,I will get in trouble .,I ask for permission first.,0
My brothers let me play with their new toys . ,I will get in trouble .,I put them back where I found them .,0
My brothers let me play with their new toys . ,I will get in trouble .,I don't touch them .,0
My brothers let me play with their new toys . ,hey will take them back when I'm done .,I play with them carefully .,0
My brothers let me play with their new toys . ,hey will not let me play with them again .,I be very careful with them.,0
My brothers let me play with their new toys . ,hey will not let me play with them again .,I am extra careful .,0
I lead two groups in my church . ,I will fail .,I asked God to give me strength .,0
I lead two groups in my church . ,I will fail .,I pray for guidance .,0
I lead two groups in my church . ,I will fail .,I asked one group leader to guide me .,0
I lead two groups in my church . ,I will favor one .,I try to be as fair as possible .,0
I lead two groups in my church . ,I will favor one .,I try to remember to treat them both the same .,0
I lead two groups in my church . ,I will never have time for myself .,I set some time apart each week just for me .,0
I lead two groups in my church . ,I will not have time to do anything else .,I ask for help from the other group members .,0
I lead two groups in my church . ,I will not have time to do anything else .,I have to focus and plan my time carefully .,0
I lead two groups in my church . ,I will not have time to do anything else .,I try to plan my time wisely .,0
The defendant protested his innocence . ,he would be convicted .,I advised him to tell the truth .,0
The defendant protested his innocence . ,he would be convicted .,I urged him to hire a lawyer .,0
The defendant protested his innocence . ,he will not be believed .,he brought up some old evidence .,0
The defendant protested his innocence . ,he will not be believed .,he asked for a lawyer .,0
The defendant protested his innocence . ,he will not be believed .,he provided an alibi .,0
The defendant protested his innocence . ,he might be lying .,I asked for a lie detector test .,0
The defendant protested his innocence . ,he might be lying .,I looked him in the eye to see if he was telling the truth.,0
The defendant protested his innocence . ,he may have been guilty .,I upheld the sentence .,0
The defendant protested his innocence . ,he may have been guilty .,the judge set him a high bail .,0
I raised my hands to look at the board . ,he teacher will ask me a question .,I quickly lower my hands again .,0
I raised my hands to look at the board . ,he teacher will ask me a question .,I answer in my head beforehand .,0
I raised my hands to look at the board . ,he teacher would call on me .,I lower my head quickly .,0
I raised my hands to look at the board . ,he teacher would call on me .,I quickly lower them .,0
I raised my hands to look at the board . ,my classmates will make fun of me .,I lower them back down immediately .,0
I raised my hands to look at the board . ,my classmates will make fun of me .,I lower my head and don’t dare to look up .,0
I raised my hands to look at the board . ,my classmates will make fun of me .,I lower my head .,0
I raised my hands to look at the board . ,I will get called on .,I start paying attention to the lesson .,0
I raised my hands to look at the board . ,I will get called on .,I quickly lower them back down .,0
I raised my hands to look at the board . ,I will get called on .,I quickly lower them again .,0
I raised my hands to look at the board . ,my teacher would put me on the spot .,I lowered my head again .,0
I raised my hands to look at the board . ,my teacher would put me on the spot .,I lower my head quickly .,0
I accept your offer to go for a date . ,you will think I am ugly .,I put on some makeup .,0
I accept your offer to go for a date . ,you will think I am ugly .,I wore my best clothes .,0
I accept your offer to go for a date . ,you will not call me back .,I will start to doubt myself.,0
I accept your offer to go for a date . ,you will not call me back .,I'll keep my expectations low .,0
I accept your offer to go for a date . ,you will think I am a loser .,I will make sure to dress up nice .,0
I accept your offer to go for a date . ,you will think I am a loser .,I try to be as cool as possible.,0
I accept your offer to go for a date . ,you will think I am a loser .,I try to act cool and aloof .,0
I accept your offer to go for a date . ,you may not be asnice as I thought you were .,I will bring my phone just in case .,0
I accept your offer to go for a date . ,you may not be asnice as I thought you were .,I turn down your offer .,0
I accept your offer to go for a date . ,you may not be asnice as I thought you were .,I will bring my friend along .,0
I accept your offer to go for a date . ,you will cancel on me .,I try to make other plans for that night.,0
I accept your offer to go for a date . ,you will cancel on me .,I backup plan and ask my friend to come along .,0
I accept your offer to go for a date . ,you will cancel on me .,I offer to pay for the bill in advance .,0
The host announced my arrival . ,I will be late .,I hurried up the stairs .,0
The host announced my arrival . ,I will be late .,I walk faster toward the entrance of the hall .,0
The host announced my arrival . ,I will be late .,I speed up my pace .,0
The host announced my arrival . ,I am not ready .,I delay walking into the stage .,0
The host announced my arrival . ,I am not ready .,I hide behind the curtain .,0
The host announced my arrival . ,I  would be embarrassed .,I pretend that I am somebody else .,0
The host announced my arrival . ,I  would be embarrassed .,I slinked in the back door.,0
The host announced my arrival . ,he misspoke and I am not the person he is supposed to be announcing .,I walk off the stage .,0
The host announced my arrival . ,he misspoke and I am not the person he is supposed to be announcing .,I step off to the side .,0
The host announced my arrival . ,he misspoke and I am not the person he is supposed to be announcing .,I correct him .,0
The host announced my arrival . ,he may have said something embarrassing about me .,I tried to make a quick escape .,0
The host announced my arrival . ,he may have said something embarrassing about me .,I hid behind the curtain .,0
The host announced my arrival . ,he may have said something embarrassing about me .,I sank lower in my seat .,0
The questions my boss asked me were very difficult . ,I will not be able to answer .,I asked for a minute to think .,0
The questions my boss asked me were very difficult . ,I will not be able to answer .,I asked him to repeat the question .,0
The questions my boss asked me were very difficult . ,I will not be able to answer .,I asked for a few minutes to think about the answers .,0
The questions my boss asked me were very difficult . ,I will be fired .,I asked for help from my co-worker .,0
The questions my boss asked me were very difficult . ,he doesn't think I am competent .,I answered with confidence .,0
The questions my boss asked me were very difficult . ,he doesn't think I am competent .,I gave him a detailed explanation of my qualifications .,0
The questions my boss asked me were very difficult . ,he doesn't think I am competent .,I provided some detailed explanations .,0
I went to my friends room to study together . ,she would not be there .,I called her .,0
I went to my friends room to study together . ,she would not be there .,I called her beforehand .,0
I went to my friends room to study together . ,she would not be there .,I left a note and waited for her outside .,0
I went to my friends room to study together . ,I will be ignored .,I sit in the corner and read by myself .,0
I went to my friends room to study together . ,I will be ignored .,I sat down quietly and tried not to be a bother.,0
I went to my friends room to study together . ,I will be ignored .,I sat quietly in the corner and read my book .,0
I went to my friends room to study together . ,she would not want to study with me .,I just left .,0
I went to my friends room to study together . ,she would not want to study with me .,I pretended to be busy with my phone .,0
I went to my friends room to study together . ,she would not want to study with me .,I sat in silence and read by myself.,0
I went to my friends room to study together . ,he would not be ready and it would be a waste of time .,I just went home .,0
I went to my friends room to study together . ,he would not be ready and it would be a waste of time .,I left .,0
I also asked for a raise . ,I will be fired .,I asked cautiously.,0
I also asked for a raise . ,I will be rejected .,I tried to negotiate with my boss kindly .,0
I also asked for a raise . ,I will be rejected .,I lower my expectations in salary .,0
I also asked for a raise . ,I will be rejected .,I start to look for a new job .,0
I also asked for a raise . ,I will never get one .,I tried to negotiate with my boss with a stronger case.,0
I also asked for a raise . ,I will never get one .,I started to search for another job.,0
I also asked for a raise . ,I will never get one .,I decided not to ask for one .,0
I also asked for a raise . ,my boss will think I'm greedy .,I try to negotiate in a calm and firm manner .,0
I also asked for a raise . ,my boss will think I'm greedy .,I nervously rehearsed what I was going to say .,0
I also asked for a raise . ,I will not get it .,I researched what a reasonable amount to ask for would be .,0
I also asked for a raise . ,I will not get it .,I research the median salary for my position .,0
I bring together the people that I know will not get along in order to create a successful work environment . ,hey will not be able to put their differences aside .,I mediate between them .,0
I bring together the people that I know will not get along in order to create a successful work environment . ,hey will not be able to put their differences aside .,I try to facilitate communication between the two groups.,0
I bring together the people that I know will not get along in order to create a successful work environment . ,someone will get upset .,I try to stay calm and be the voice of reason.,0
I bring together the people that I know will not get along in order to create a successful work environment . ,someone will get upset .,I try to be very diplomatic .,0
I bring together the people that I know will not get along in order to create a successful work environment . ,I will be the one that has to fix all the arguments .,I try to keep my distance .,0
I bring together the people that I know will not get along in order to create a successful work environment . ,I will be the one that has to fix all the arguments .,I try to be as diplomatic as possible .,0
I bring together the people that I know will not get along in order to create a successful work environment . ,he environment will not be successful .,I try to stay aware of my body language and keep the energy in the room positive .,0
I bring together the people that I know will not get along in order to create a successful work environment . ,he environment will not be successful .,I try to get to know everyone before the meeting .,0
I bring together the people that I know will not get along in order to create a successful work environment . ,he environment will not be successful .,I take some time out to meditate on what I could do to make it a more positive space .,0
I bring together the people that I know will not get along in order to create a successful work environment . ,hey will not be able to work together and the project will be a failure .,I try to build a rapport with each individual before the meeting.,0
I bring together the people that I know will not get along in order to create a successful work environment . ,hey will not be able to work together and the project will be a failure .,I try to build relationships by talking to everyone about their interests outside of work.,0
I bring together the people that I know will not get along in order to create a successful work environment . ,hey will not be able to work together and the project will be a failure .,I hold a team building activity.,0
I buy the bike from the bike shop . ,I will be overcharged .,I research the prices of the bike online .,0
I buy the bike from the bike shop . ,I will be overcharged .,I ask the salesperson some questions.,0
I buy the bike from the bike shop . ,I will regret because it is too expensive .,I ask for the price again.,0
I buy the bike from the bike shop . ,I will regret because it is too expensive .,I bargain with the shopkeeper .,0
I buy the bike from the bike shop . ,will break easily .,I read some reviews before making the purchase.,0
I buy the bike from the bike shop . ,will break easily .,I check the material and reviews first.,0
I buy the bike from the bike shop . ,will rain tomorrow .,I asked the shop owner for a rain cover .,0
I buy the bike from the bike shop . ,will rain tomorrow .,I put the bike in the porch .,0
I buy the bike from the bike shop . ,will rain tomorrow .,I buy a bike cover.,0
I buy the bike from the bike shop . ,he bike will be stolen .,I set up a bike lock.,0
I continue driving even though I am very tired . ,I will fall asleep at the wheel .,I find the nearest hotel to check in .,0
I continue driving even though I am very tired . ,I will fall asleep at the wheel .,I stop for a quick nap .,0
I continue driving even though I am very tired . ,I will fall asleep at the wheel .,I stop at the next gas station and take a quick nap.,0
I continue driving even though I am very tired . ,I will  have an accident .,I decide to find a rest stop .,0
I continue driving even though I am very tired . ,I will  have an accident .,I always pull over to rest when I feel tired .,0
I continue driving even though I am very tired . ,I will  have an accident .,I pull over to the side of the road to rest .,0
"A lot of people crowd around me, straining to hear what I'm saying . ",I will be judged .,I avoid drawing attention to myself.,0
"A lot of people crowd around me, straining to hear what I'm saying . ",I will be judged .,I avoid talking to strangers in public .,0
"A lot of people crowd around me, straining to hear what I'm saying . ",I will get embarrassed and make a fool of myself .,I avoid speaking in public places .,0
"A lot of people crowd around me, straining to hear what I'm saying . ",I will get embarrassed and make a fool of myself .,I try to keep my voice down .,0
"A lot of people crowd around me, straining to hear what I'm saying . ",I will feel uncomfortable .,I try to remember to keep my voice down .,0
"A lot of people crowd around me, straining to hear what I'm saying . ",I will feel uncomfortable .,I move to a quieter place.,0
"A lot of people crowd around me, straining to hear what I'm saying . ",I might say something embarrassing .,I try to keep my voice down.,0
"A lot of people crowd around me, straining to hear what I'm saying . ",I might say something embarrassing .,I start to stutter.,0
I hike up a mountain by myself . ,I will get lost in the wilderness .,I take a GPS with me .,0
I hike up a mountain by myself . ,I will get lost in the wilderness .,I always tell someone where I am going .,0
I hike up a mountain by myself . ,I will  meet  a  bear .,I  carry  a  big  stick  with  me  and  make  noise  while  I  am  walking.,0
I hike up a mountain by myself . ,I will get lost .,I always bring a map and a compass with me .,0
I hike up a mountain by myself . ,I may not be able to make it down .,I leave a note with my planned route before I start .,0
I hike up a mountain by myself . ,I may not be able to make it down .,I bring a cellphone .,0
"My boss yells at me, and I yell back . ",I will get  fired .,I try to stay calm and breathe deeply.,0
"My boss yells at me, and I yell back . ",I will get  fired .,I keep my cool and try to listen to what he's saying.,0
"My boss yells at me, and I yell back . ",I will get  fired .,I try to stay calm and listen to what he has to say.,0
"My boss yells at me, and I yell back . ",I will get written up .,I try to stay calm .,0
"My boss yells at me, and I yell back . ",I will get written up .,I stay quiet .,0
"My boss yells at me, and I yell back . ",I will get written up .,I try to keep my cool .,0
I spend many hours working on a project that I'm not interested in . ,I will be bored .,I try to find a way to make it more fun .,0
I spend many hours working on a project that I'm not interested in . ,I will be bored .,I try to take breaks and move around every few hours .,0
I spend many hours working on a project that I'm not interested in . ,I will be bored .,I take breaks to watch cat videos on the internet .,0
I spend many hours working on a project that I'm not interested in . ,I will not be able to finish it .,I take a break to clear my head .,0
I spend many hours working on a project that I'm not interested in . ,I will not be able to finish it .,I take many breaks to motivate myself .,0
I spend a lot of money on clothes . ,I will have no money for food .,I always check the sales and coupons .,0
I spend a lot of money on clothes . ,I will have no money for food .,I spend less on clothes .,0
I spend a lot of money on clothes . ,I will have no money for food .,I always eat before I go shopping.,0
I spend a lot of money on clothes . ,I will be broke .,I always check the prices and try to find sales .,0
I spend a lot of money on clothes . ,I will be broke .,I save up my money .,0
I spend a lot of money on clothes . ,I will never be able to save up .,I try to stick to a budget .,0
I spend a lot of money on clothes . ,I will never be able to save up .,I always check how much money I have in my bank account .,0
I spend a lot of money on clothes . ,I will never be able to save up .,I always make sure to keep track of my spending.,0
I show everyone my new car . ,I will be regarded as a show-off .,I am extra humble when I talk about it .,0
I show everyone my new car . ,I will be regarded as a show-off .,I try to act low-key .,0
I show everyone my new car . ,I will be regarded as a show-off .,I act modestly.,0
I show everyone my new car . ,hey will say it's ugly .,I don't bring it around very often.,0
I show everyone my new car . ,hey will say it's ugly .,I try to find something to compliment it on.,0
I show everyone my new car . ,hey will all judge me .,I park it in the back of the parking lot .,0
I show everyone my new car . ,hey will all judge me .,I wash and wax it beforehand .,0
I show everyone my new car . ,hey will be jealous of me .,I bought a present for everyone.,0
I show everyone my new car . ,hey will be jealous of me .,I asked my friend to take a photo of me in front of it.,0
I show everyone my new car . ,hey will be jealous of me .,I try to act humble .,0
I show everyone my new car . ,hey will all think it's too expensive .,I tell them the monthly payments .,0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ",I will not get to play tennis .,I decided to stay and work late .,0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ",I will not get to play tennis .,I canceled my plans with my friends.,0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ",I will not get to play tennis .,I decided to stay and work .,0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ",I will not be able to get off work on time .,I try to talk to my boss about it .,0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ",I will not be able to get off work on time .,I decided to call my friends and cancel .,0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ",I will not be able to get off work on time .,I told my boss that I had to leave early.,0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ",I will lose my job if I don't .,I chose to stay and work .,0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ",I will lose my job if I don't .,I called my friends to cancel .,0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ",I will lose my job if I don't .,I stayed and worked .,0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ",I will have to work late .,I asked my boss for permission to leave early .,0
