situation,clue,thought,polarity
I was the last person to board the plane and the guy in front of me was taking forever so I was a little frazzled by the time I got to my seat . , I asked him to hurry up . , I was rude to him . ,0
My friends and I have agreed to go cliff diving tomorrow . , we have never done it before . , that it is going to be an adventure . ,1
I was arguing with my boss about the new project proposal . , my boss was getting angrier and angrier . , I may have jeopardized my job . ,0
I caught my friend's attention by waving my hand . , I looked like an idiot . , he will think I am stupid . ,0
I relied on my friend's experiences when planning my own trip to Europe . , my friend had been there before . , my friend's knowledge would help me have a great time . ,1
I begin my career as an accountant . , it seems very boring . , I will be doing the same thing for the rest of my life . ,0
I assume my boss's responsibilities while she is out of town on vacation . , I've never done her job before . , I will fail . ,0
I brag to all my friends about how I just got a raise . , I work hard and deserve it . , they'll be happy for me . ,1
I was asking my friend for some advice on how to ask out my crush . , we have been close friends for a while now . , he/she will give me some good tips . ,1
My parents are bearing the cost of my college education . , they are supporting me . , I will be able to get a job that I love and not have to worry about money . ,1
A boy asks a girl to prom . , he is not her type . , she will say no . ,0
My friend is helping me plan my surprise party . , My friend is very detail oriented . , it will be a success . ,1
I arranged an interview for my friend with the CEO . , she has always wanted to work for that company . , it will help my friend's career . ,1
I assured my brother that I would be okay to travel by myself . , I have never traveled by myself before . , I will not make it to my destination safely . ,0
I am going to amend my will . , I will  leave him less money than my daughter . , my son will be disappointed . ,0
I bet my new boots will be great for our next hike . , they look to be well made . , I will have them for a while . ,1
I agree to go on a date with the new guy . , I know nothing about him . , he may be a little bit of a creep . ,0
The defendant protested his innocence . , several pieces of evidence suggested otherwise . , he might be lying . ,0
I picked up the slack for my friend who was going through a rough patch . , they  thanked me profusely and offered to return the favor . , my friend appreciated it . ,1
I caught my friend's attention by waving my hand . , he is looking at me . , I have his attention . ,1
I am the head of the PTA and attend all the meetings . , the PTA is very time-consuming . , I will never get a break from my duties . ,0
I was playing video games with my brother the other day and I beat him for the first time . , he always wins . , he will be angry . ,0
I am advancing another two levels in my video game . , I have been stuck on this level for weeks . , I will never beat the game . ,0
I am basing my decision on previous experiences . , I have been in this situation before . , I will make good decisions . ,1
The old man added more wood to the fire . , I asked him to . , he is going to make a hot cocoa for me . ,1
I accomplish my goal of becoming CEO by the age of 30 . , Ill have to make a lot of important decisions . , lli be overworked and stressful . ,0
I babysat my cousin's kids while she was at work . , they were really hyper . , I will not be able to handle them . ,0
Themanager abuses his power by making the employees work overtime . , I will never get the chance to prove my abilities . , I will never get promoted . ,0
I have to go to a lot of parent-teacher meetings because I'm a teacher . , they offer parents and guardians an opportunity to learn about their child's progress in school . , that parent-teacher meetings are so important . ,1
My boss asked me to give a presentation to the board of directors . , I am not good at public speaking . , I will not do well . ,0
I'm biding my time until my parents get home . , they left without telling me . , they may be gone for a long time . ,0
My ability to focus is affected when she's around . , she's a very distracting person . , I will not be able to think straight . ,0
I walked into my roommate's room without knocking the other day and he was in the middle of changing . , I just stood there and stared at him . , he will think I am a perv . ,0
I have been feeling really stressed lately and it's affecting my health . , I have been making an effort to relax more and eat better . , I have started to taking better care of myself . ,1
I accept your offer to go for a date . , I have low self-esteem . , you will think I am ugly . ,0
I asked my boss what he wanted from me . , I  was  not  meeting  his expectations . , I will be fired . ,0
I will bear my partner's share in the project . , I didn't do it when I should have . , I will be scolded by the professor . ,0
I babysat my cousin's kids while she was at work . , they never listen to me . , they will be too noisy . ,0
I asked the President to sign my petition to end homelessness . , I have been a big supporter of his campaign . , he will listen to what I have to say . ,1
I was baring my soul to my best friend . , I know she loves me for who I am . , she will not judge me . ,1
I asked my parents for money to travel . , I have been a good daughter and I have always helped them out . , I will get what I need . ,1
I give a speech about why women should be in the workforce . , they don't need  me  to  do  that . , I will be  made  redundant . ,0
My co-worker became my friend . , I'm not close with her . , I will be left out . ,0
The avenger's goal is to kill the murderer . , the avenger's parents died  . , the murderer didn't deserve to die . ,0
I add an extra hour of studying to my schedule . , I have too many classes . , I will not be able to finish all my work . ,0
The army is advacing upon the enemy . , our side is armed with better weapons . , we will win the battle . ,1
I was at a party the other night and heard someone say my name . , I didn't know anyone else at the party . , they were talking about me . ,0
I crowdsourced around for a solution to my problem . , it is too difficult . , I will not find the answer . ,0
I argued with my friends boyfriend because he was being really disrespectful to her . , she wasnt used to him talking to people like that . , she will think I am overreacting . ,0
I was really affected by the 9/11 terrorist attacks . , it was such a devastation . , our country will be forever changed . ,0
I try to calm my boss's fears about the company's future . , my boss already trusts me . , my positive attitude will be infectious . ,1
I ask my boss for help with a project I'm working on . , my boss is always willing to help me out . , I will get the help I need . ,1
I adjusted my seatbelt accordingly after the car began to speed up . , the  car  was  going  too  fast . , the car will  hit  a  wall in front of us . ,0
I go on a date with my boss . , I am an attractive and intelligent woman . , he will fall in love with me . ,1
I achieve my purpose of being promoted to a manager position . , my boss has trust in me . , I positively worked hard for it . ,1
I beat my personal record in the 100 meter dash by 0.2 seconds . , breaking my personal records is one of the indicators that I am progressing . , I am one step closer to my goals . ,1
My father is attending to his duties as a doctor . , he is working as a doctor . , he is helping to save people's lives . ,1
He gave her flowers on their first date . , he was trying to be romantic . , he was going to get laid that night . ,1
The police officer afforded the old woman protection . , she  is  not  used to being afforded protection . , the old woman will be scared . ,0
I was baring my soul to my best friend . , we have been through so much together . , she will truly understand me . ,1
I am now a majority shareholder in my family's business . , I'm not very interested in the business . , I will not be able to continue its traditions . ,0
My little sister always takes my opinion into account when she is planning her vacation . , she knows how much I love traveling . , I will be asked to go with her even if I do not want to . ,0
I spend many hours on the phone with my friends . , they need the phone too . , my parents will be mad . ,0
I give my boss a detailed description of the project I have been working on . , it is very innovative and professional . , he will be very impressed . ,1
I am the head of the PTA and attend all the meetings . , I have a lot of previous experience . , I will be able to help out the school a lot . ,1
I ask my boss for his opinion on a work-related issue . , I'm new to the company . , he will think I'm trying to challenge his authority . ,0
I will bear my partner's share in the project . , we will have more manpower and resources to work with . , the project will be a success . ,1
I have achieved one of my New Year's resolutions- to travel to Thailand! . , this was a huge accomplishment for me and it motivates me to continue working hard to achieve my other goals . , I positively can do anything I set my mind to! . ,1
I agreed to go on a second date with the guy I met online . , he was very shy and reserved . , he is not who he says he is . ,0
My lawyer will argue my case in court tomorrow . , the evidences against me are pretty strong . , I will be convicted . ,0
I had to ask my girlfriend's mom for help because I forgot her birthday . , I couldn't even remember something as important as her birthday . , I will be seen as irresponsible . ,0
I give my opinions about music to my boss . , he only loves country music . , he will not listen . ,0
I break my mother's favorite vase by accident . , I always carelessly break things at home . , I will get scolded . ,0
"My best friend asks me to go to the dance with him , but I don't know how to dance . ", we always have a lot of fun when we hang out . , we'll have a lot of fun . ,1
I broke my hip when I fell from the tree . , the pain is not that big . , I won't have to go to the hospital . ,1
My boss asked for an explanation of my tardiness . , he has been happy with my work lately . , I will get a raise . ,1
The avenger's goal is to kill the murderer . , they killed someone . , the bad guy deserves it . ,1
I adapt my work schedule to the needs of my family . , I want to be able to spend more time with them . , I am doing what is best for them . ,1
My travel agent gave me a description of the different ocean cruises . , it  sounds  so relaxing and I deserve a vacation . , I will  go on one . ,1
I'm waiting for my boss to leave so I can go home . , it's getting late . , he's almost done for the day . ,1
My boss asked me what I thought of his new business idea . , he is very confident about his idea . , he will be offended if I give him an honest answer . ,0
My uncle avenged my grandfather's death . , My uncle avenged his death . , My grandfather's spirit will be pleased . ,1
My employer asserts their right to privacy in the workplace . , I am an adult and a professional . , I am entitled to a certain degree of privacy at work . ,1
I also took out the new girl on a date . , we had a lot in common and she said I was a great listener . , she will be my new girlfriend . ,1
I arouse my boss's interest by wearing a low-cut shirt to work . , I show my cleavage . , I will  be label as a slut . ,0
My boss asked me to go to work with him today . , he usually asks me to work on weekends . , I may have to do extra work . ,0
I need help from my friends planning my next birthday party . , they are always asking me what I want to do and they seem to care about what I want  . , they will be willing to help me out . ,1
My sister is going to act as my power of attorney while I'm out of the country . , I trust her completely . , she will handle everything just fine . ,1
"After years of planning, I finally avenged my brother's death . ", he was killed unjustly  . , I had justice . ,1
I asked my doctor what was wrong with me . , she is a professional . , that I will be able to fix the problem . ,1
I decided to hike up the mountain path behind my house . , I had never been on that path before . , I would find a secret hidden waterfall . ,1
I am biding my time until my next vacation . , I have been working nonstop for the past few months . , I will never get a break . ,0
I am brushing my teeth before bed . , I am always tired at night . , I will forget to do it . ,0
I became an official member of the library without my mom's signature . , I'm still a minor . , I will be scolded . ,0
I am avoiding my ex's eyes . , I am not giving her the satisfaction of looking into my eyes . , she won't be able to see how hurt I am . ,1
My dad is raising me and my siblings by himself . ," no matter how hard things got , he never gave up on us  . ", he is the best dad in the world . ,1
I show everyone my new car . , I am not driving a luxury car . , they will all judge me . ,0
I always base my travel plans off of my friends' experiences . , my friends are always happy when they come back from their trips . , I will have a good time no matter what . ,1
I broke my hip when I fell from the tree . , my mom is a doctor . , I won't have to go to the hospital . ,1
I asked my friend what she thought about my outfit . , she is my best friend . , she would never lie to me about my fashion choices . ,1
I pretend to be interested in sports so that my male friends will not think I am weird . , we can have different hobbies and still be friends . , I don't have to like what they like to be friends with them . ,1
I broke my leg skiing . , bones usually do . , it'll heal soon . ,1
I am answering the call of my ancestral homeland . , my children are adults now . , I will be going there alone . ,0
"I wanted to get a new car, so I saved up and finally bought one . ", it's a long drive to work . , it will help with my commute . ,1
I am answering the call of my ancestral homeland . , I have to take care of my sick mother . , I will not be able to fulfill my promise . ,0
My dad always told me that I should travel while I'm young . , I have no money . , now I will never be able to go . ,0
I was getting interviewed for a job and the interviewer asked me about my experience . , he nodded his head while I was talking . , I will get the job . ,1
I asked my coach for permission to tryout . , I have practiced hard . , I will get a chance to play . ,1
I always base my travel plans off of my friends' experiences . , they always tell me about the great places they have been . , I will have an amazing time . ,1
I was thinking about my cousin – she's traveling in Africa right now . , she has written to me telling me about all the amazing things she has seen . , she is doing well . ,1
I keep my fingers crossed whenever I have to do a presentation in front of my boss . , I'm too nervous . , I will not be able to give the presentation properly . ,0
I have achieved my dream of becoming a doctor . , it is a very difficult profession . , I will have to work very hard . ,0
I asked my best friend to the homecoming dance . , we have been good friends for a while . , he will say yes . ,1
We almost hit a deer on our way home from our trip . , the deer ran out in front of our car suddenly . , we could have died . ,0
I ask my friend to join my book club . , she has never mentioned wanting to join a book club . , she may not be interested . ,0
I also told my boss that I accept the job position . , he was very happy and he told me that I will be a great asset to the company . , that I made the right decision . ,1
My lawyer is acting on my behalf in the divorce proceedings . , my lawyer is experienced in family law . , I will have a more favorable outcome . ,1
I arranged an interview for my friend with the CEO . , CEO always appreciates new talent . , it will help my friend's career . ,1
I asked my date to dinner . , I am a great catch . , they will say yes . ,1
I am babysitting my friend's cousin while they go out on a date . , I'm not good with kids . , the baby will cry the whole time . ,0
I accomplished my goal of reading 100 books this year . , I have to start working . , I will never find the time to read again . ,0
I am answering the call of my ancestral homeland . , I have been dreaming about this for a long time . , I am going to get many rewards . ,1
The president abuses his power . , he doesn't respect the rule of law . , the democracy is in danger . ,0
I asked my boss if she would join my book club . , it would give her a chance to socialize outside of work . , she will get something out of it . ,1
I have asked my mom to help me plan my wedding . , she has always been my best friend . , it will be more special that way . ,1
I keep my fingers crossed for my driving test . , my mom says that it worked for her . , I'm going to get my license . ,1
I asked for my friend's explanation about why he was arguing with his girlfriend . , I have been friends with him for a long time . , he started to listen to me . ,1
I asked the new guy if he had seen my coffee mug . , he smiled and nodded when I asked him . , he has it . ,1
The weather forecast said that the hurricane would affect people's travel plans . , I didn't make any alternative plans . , I will be stranded . ,0
I helped my friend with their project . , my friend didn't seem to appreciate it . , I would never get any help when I need it . ,0
I asked my boss for a raise . , I have worked hard and contributed to the company . , positively that she will give me one . ,1
I babysit my cousins every Saturday . , they are always fighting and never listen to me . , I will be bored . ,0
My aunt also told me how much she enjoyed the food and the culture . , I'm a vegetarian . , I will not be able to find  a good variety of food . ,0
I asked the cashier for directions to the nearest post office . , the cashier was very helpful . , I will get there without any trouble . ,1
I was getting a massage and the masseuse was arching my back . , it hurt a lot . , my spine may snap . ,0
I asked my friend if he liked the new restaurant . , it has healthy food . , he will like it . ,1
My sister avenged my death by winning the game in my memory . , nobody was there to see it . , nobody will know the truth . ,0
I bring up my children in a conversation with my boss . , I can't focus on work . , he may think I am not responsible . ,0
I am attempting to explain to my boss why i was late . , it's the third time this month . , she won't believe me . ,0
Themanager abuses his power by making the employees work overtime . , it's against the law . , he will get caught and be fired . ,1
"I was going to the grocery store, but then my cat barred my way . ", she knows I'll be gone for a long time . , my cat is trying to keep me from going outside . ,1
I was thinking about my cousin – she's traveling in Africa right now . , she's traveling alone . , she will get robbed . ,0
I used my friend's car to get to the party . , I hadleft early . , I would get there on time . ,1
I broke my hip while playing soccer . , I  am  old . , I will be in the hospital for a long time . ,0
I let my friends pick out my outfit for my date . , my friends know me well and want me to look good . , I will have a great time . ,1
The weather forecast said that the hurricane would affect people's travel plans . , I had planned to go to the beach this weekend . , my vacation might be ruined . ,0
I asked for my boss's permission to take a vacation day . , I have been working hard recently . , he will approve my request . ,1
I asked my neighbor for a recommendation for a good place to travel . , she is an experienced traveler . , I will have an amazing time . ,1
I accomplished my goal of getting an A in the class . , I have put in so much effort and time . , I am capable of doing anything . ,1
My best friend asks me to go to the dance with him . , I promised my little sister I would take her to the movies . , I will have to say no . ,0
The professor asked me to write a paper on a specific topic . , I am a good writer . , I will get an A on it . ,1
I ask my boss's mom for help with my car . , we have a good relationship . , I can trust her to help me . ,1
My ability to focus is affected when she's around . , I have caught her staring at me a few times . , she is interested in me . ,1
I form my opinion of my new boss after talking to her for the first time . , she was very kind and interested in what I had to say  . , she is a great person . ,1
I gave my brother some money so he could afford a new car . , I gave him the money . , he will driving a new car . ,1
I asked my friends for advice on how to handle the situation . , they are my friends and I have helped them in the past . , they will help me out . ,1
I adjusted my seatbelt accordingly after the car began to speed up . , the safety measure was put into place . , I  am safe from  harm . ,1
I beat my brother in a race . , I have beat him before . , I am the better runner . ,1
I am basing my travel plans on my aunt's experience . , she  always  gets lost when she travels . , I will end up getting lost . ,0
My coworker is always advancing toward me and trying to engage in small talk . , I'm not interested in talking . , my personal space is being invaded . ,0
My aunt also bought me a souvenir keychain from her trip to Italy . , it will make me happy . , I will put it on my keys . ,1
I asked my friend's girlfriend to the movies . , we have talked a lot before . , she may think I am asking her out on a date . ,0
My best friend becomes my boss's wife . , I have known them both for a long time . , I will be invited to all the family events . ,1
I asked Sarah on a date to see the new Avengers movie . , I am a nice guy and I have been asking her out for a while now . , she will say yes . ,1
One of my friends from college appeared in a picture with Beyonce . , I have never met a celebrity . , my friend is more popular than me . ,0
I asked my little brother to borrow his video game . , We always share things with each other . , he is going to let me borrow it . ,1
"I was out fishing with my buddies and one of them forgot to bring bait, so I had to share mine . ", they were really grateful . , I was able to help out a friend in need . ,1
I assure my boss that I will be able to take care of the problem . , I have been handling such tasks for a long time . , I will be able to find a solution to the problem . ,1
I began my modeling career when I was 17 . , I was told that I need to be at least 5'7 , I will be too short . ,0
I bragged to all my friends about how I got the new girl's number at school . , she gave me the wrong number on purpose . , they will find out I lied . ,0
A new employee arrives at my job and I ask his name . , I have difficulty remembering people's names . , I will forget his name 10 minutes later . ,0
"I'm currently going through a divorce and although it's been hard, I'm trying to focus on being the best parent I can be for my kids . ", I'm not in the best financial state . , I will not be able to give them the life they deserve . ,0
I ask my family for help with homework . , I am in college . , they will think I am stupid . ,0
I asked my boss's neighbor if he had seen my boss come home last night . , he is a credible witness . , he could help me prove my innocence . ,1
I have asked my roommate to write a paper for me . , he is a good writer . , he will be happy to do it . ,1
The doorman wouldn't allow me to enter the building without my ID . , I was wearing a dress and high heels . , he must think I look like a model . ,1
One of my hobbies is helping out of state students practice for their drivers' licenses . , I get to help people and make a difference . , it is a very rewarding experience . ,1
I asked my girlfriend to forgive me for forgetting our anniversary . , I have been very sorry and I have bought her a present . , she will say yes . ,1
I ask my boss to send a memo to the company about the change in personnel . , the change is not significant . , he will not approve it . ,0
I give my boss an explanation for why I was late to work . , she is a reasonable person . , she will understand . ,1
I take out my gun and shoot at the person who is trying to break into my house . , it's pitch black and  I can't see anything . , I may have shot an innocent person . ,0
I asked the teacher to repeat what she had said because I didn't understand . , I take notes and listen carefully . , it shows that I am interested in the class . ,1
My boss asked me to make a report . , I'm not good at English . , it's too difficult for me . ,0
I achieved my goal of running a marathon under 4 hours . , I have put in the hard work and dedication required . , I can achieve anything . ,1
I asked my friend to visit me in the hospital . , she always make me feel better . , it would be good for my recovery . ,1
I take my little sister to the park to afford her some pleasurable time outside . , she is a very good girl . , she deserves it . ,1
I ask my boss to take a look at my resume . , my resume is not very attractive . , he will not be impressed . ,0
I agree to go on a month-long trip with my friends . , we'll be spending so much time together . , we'll get to know each other better . ,1
I asked the cashier for a pen and she gave me a pencil instead . , I should have known the difference . , I will be made fun of . ,0
I give my opinions about music to my boss . , I am very passionate about it . , she will listen to me . ,1
I adapt my work schedule to the needs of my family . , no one needs it . , I will not be able to sell it . ,0
I asked my friends for their numbers so I could stay in touch with them . , they are important to me . , I should stay in touch with my friends . ,1
I asked the professor if I could have an extension on the project . , I have a good reason for why I need more time . , he will say yes . ,1
I can't believe my ears when my boss tells me that I'm getting a raise . , I haven't worked here for very long . , I don't deserve it . ,0
My aunt also told me how much she enjoyed the food and the culture . , she has been there before . , I am going to enjoy the food . ,1
I asked my friend for advice about my boyfriend . , she doesn't like him . , she will tell me to break up with him . ,0
I agree to go on a date with the person I met at the bar . , I didn't like the person that much . , I'll be going home alone . ,0
I babysit my younger cousin while my aunt goes out to run errands . , she often spilling things and tearing things up . , she will make a mess . ,0
My parents are bearing the cost of my college education . , they are making a big financial investment in my future . , I will be very grateful to them . ,1
I am performing my duties as a maid . , my employer is never satisfied with my work . , my work is never good enough . ,0
My father affords me protection . , he is always there for me  . , he cares for me . ,1
I asked my friends what they thought of my new haircut . , my friends said it looked good . , it looks good . ,1
I tell my boss about my personal life in order to gain his trust . , he will know more about me . , he will give me better opportunities . ,1
"I wanted to get a new car, so I saved up and finally bought one . ", it was an expensive car . , I will have car payments for the next five years . ,0
My boss arrives to pick me up for a business trip . , I have worked hard and made lots of progress on my project . , he will take me to first class . ,1
I admire my friend's work . , she put a lot of effort into it . , she is going to be successful . ,1
I bait my grandpa's hook when we go fishing . , he doesn't let anyone bait his hook . , I will never get the chance to do it again . ,0
I ask all my friends if they want to go out to eat with me and my boss . , they like free food . , they will all want to come . ,1
"I talked to my boss about getting a raise, and he agreed and gave me a raise . ", I have put a lot of extra effort into my work recently . , I deserve it . ,1
The boss put his foot down about the new project . , he was so firm about it . , we will get paid for all the extra  work . ,1
The weather forecast said that the hurricane would affect people's travel plans . , my flight is tomorrow . , I will be stuck in the airport . ,0
"After years of saving up, I was finally able to afford to buy a house . ", it is a symbol of success and hard work  . , I achieved the American dream . ,1
I notice my boss is crying and I bring tissues to her . , she thanks me and dries her tears . , she appreciates me . ,1
I asked my friend's grandmother for a recipe . , I didn't want to look it up myself . , she will think I'm lazy . ,0
"I'm trying to stop a fight between my friends, but then I say something that makes it worse . ", I was the one who said something that made it worse . , I will be blamed . ,0
I have a niece who bears my name . , I think  names are very important . , my sister-in-law named her after me to make fun of me . ,0
I asked my teacher to say the answer to the question . , I didn't try to figure it out by myself . , I will be scolded . ,0
I beat my friend in a video game . , I have won four times in a row . , I'm better than him . ,1
I adopted a baby . , I will love him/her unconditionally . , I can positively  provide him/her a wonderful life . ,1
I asked my friend for her recommendations for my trip to Japan . , she had just been there herself . , she would be able to help me out . ,1
I will appear for my interview tomorrow . , I gave my best . , I practiced enough . ,1
I will bring my daughter to school . , she hasn't been to school before . , she may not want to stay with me . ,0
I asked the new guy if he had seen my coffee mug . , I can't find my own coffee mug . , he is going to think I am stupid . ,0
I asked my professor for help on my project . , she didn’t seem very interested when I asked her about it . , she may say no . ,0
I am going on a date with my boyfriend tomorrow . , I am not his type . , he will not like me . ,0
I have just begun my career as an engineer . , I am not familiar with the working environment  . , I will mess up . ,0
I was playing chess with my boss's dad and I won . , my boss's dad is very competitive . , I will be fired . ,0
I asked my mom if I could go to the movies . , I have been good recently and listened to her . , I will get what I want . ,1
One of my good friends from college just became my wife . , she makes me very happy . , I will be very happy with this decision . ,1
I picked up the slack for my friend who was going through a rough patch . , I know how much it would have meant to them . , I was being a great friend . ,1
"After my father died , my brother assumed the responsibility of being the head of the household . ", he has always been the more responsible one . , I positively think he will take care of everyone . ,1
The company adapts the product to the needs of the customer . , I don't know how to act cool . , they will think I am lame . ,0
I achieved my goal of quitting my day job and becoming a full-time writer . , I will have more time to focus on writing . , I am going to make a lot of progress with my writing career . ,1
I also asked for a raise . , I have only worked at the company for a few months . , I will be fired . ,0
I will bring my daughter to school . , I am not her mother . , I will not be able to protect her . ,0
My mother gave me a long explanation about her travels when she was younger . , I know that she just wants to share her experiences with me . , I would be able to hear her out and be patient . ,1
The guidance counselor advised me to take more AP classes . , I will have less time for extracurriculars . , my grades will drop . ,0
My aunt's travel has really affected her health . , she can't  travel anymore . , she won't be able to enjoy the rest of her life . ,0
I was angry and threw a rock at my own window . , it's my own property . , I will have to pay for the window . ,0
I am avoiding my ex's eyes . , their eyes are full of hurt . , they will see the hurt I'm trying to hide . ,0
I have asked my family if they want to travel with me to Europe this summer . , they usually prefer to travel within the country . , they will say no . ,0
I broke my elbow playing soccer . , it's so painful . , I will never play again . ,0
The army advances towards the town . , our army is the best in the world . , we are going to win the battle . ,1
The cashier was trying to explain to me why I couldn't use my credit card . , I have been a victim of credit card fraud before . , I will be accused of fraud . ,0
I adapt my work schedule to the needs of my family . , work-life balance is important . , I can have a more successful career . ,1
I attend my scientist friend's research meetings . , he is one of the most brilliant minds in his field . , I will learn a lot and be inspired . ,1
I asked the President to sign my petition to end homelessness . , he has done things like this in the past  . , he actually will sign it . ,1
I ask my boss's sister out on a date . , I am not her type . , she will say no . ,0
I answer my purpose by making a lot of money so that my family can live comfortably . , I am not very good at making money . , I will  not be able to reach my goal . ,0
I spend many hours working on a project that I'm not interested in . , it's very boring . , I will not be able to finish it . ,0
I asked my boss what happened in the meeting . , I wasn't in the meeting . , he will think I am not doing my job . ,0
"I attempt to explain to my boss why I was late for our meeting, but he does not want to listen . ", he wasn't there to see what happened . , he will not understand . ,0
I asked my mom for help with my math homework . , I  didn't try to do it myself first . , I will be scolded . ,0
I bared my soul to my therapist . , I never burdened her with my  personal problems before . , She cannot give me any support . ,0
I asked my friends for help when it came to asking her out . , I am not confident . , she might say no . ,0
I go on a date with my boss . , he is much older than me . , he may try to take advantage of me . ,0
I am asking for travel advice from people who have been to Spain before . , I have no idea what I'm doing . , my travel plans will be ruined . ,0
"The more I learn about my co-workers, the more I realize how much we have in common . ", we have a lot in common  . , we can connect and be friends . ,1
I asked my friend's girlfriend out on a date . , she said she was single . , she will say yes . ,1
My best friend called me yesterday to catch up . , we have so much in common . , we will become even better friends . ,1
I needed to ask my date's father for help . , he is always so nice and helpful . , he is going to be happy to help . ,1
I would play tennis with my friend . , I keep losing . , I need to practice more . ,1
"After years of planning, I finally avenged my brother's death . ", the police are looking for me  . , I will be arrested . ,0
My uncle avenged my grandfather's death . , it's not appropriate to take law into your own hands . , he  will be blamed . ,0
I breastfeed my baby every day . , my baby is always crying and seem very hungry . , my milk is not enough . ,0
My boss is taking me out to lunch today to discuss my raise . , I got the raise . , my boss has been impressed with my work . ,1
I asked my parents for money to travel . , they don't have extra money . , they will say no . ,0
The questions my boss asked me were very difficult . , he himself was very impressed with my answers . , I will get the promotion . ,1
I asked my best friend to the homecoming dance . , we always have fun when we are together . , we will have fun . ,1
I bring forth my best work in order to be considered for a promotion . , others have been with the company longer . , it won't be good enough . ,0
I helped my friend study for his test . , I have helped him before and he has done well . , he will get a good grade . ,1
My boss is out of town so I'm attending to his clients . , I'm new and inexperienced . , I'm not good enough . ,0
The CEO was caught abusing his power by creating a slush fund . , this would be a clear case of corruption . , he will be stripped of his title . ,1
I ask my friend to join my book club . , she is not a big fan of reading . , she will think I am asking her to do something that is not worth her time . ,0
"Every time I see a picture of a dog, I automatically assume it's form . ", I will never find a partner that shares that same interest . , I will be alone forever . ,0
I asked all my friends for their opinions on my new girlfriend . , they all approved of her . , I made the right decision . ,1
The cashier gave me a description of the dress I wanted . , the dress she was describing sounded nothing like the one I wanted . , she was trying to scam me . ,0
"After dating for six months, I became my girlfriend's wife . ", we didn't know each other that well . , I may have married too soon . ,0
I brought my kids to my ex's house . , they always do . , they will have fun with their cousins . ,1
I break my hip after falling down the stairs at my office . , I have worked for them for many years and I am a valuable employee . , my company will give me a paid leave . ,1
"I announce my decision to work on a project that I am really passionate about, even though it means I won't get paid much . ", it is not a very responsible decision . , people will think I am stupid . ,0
I called my mom for help because I was feeling down and needed to talk to somebody . , I called her when she was busy . , I will be seen as a burden . ,0
I agree to try the new burger at the restaurant . , I don't like the look of it . , it may not taste good . ,0
The doctor advised me to take a few days off work . , I have a lot of deadlines to meet . , I may get behind on my work . ,0
My parents asked me for money to help pay the bills . , I have no job . , I will never get my money back . ,0
